Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,0.004,,,Horizontal Scale,0.004
Horizontal Delay,0,,,Horizontal Delay,0
Sample Interval,4e-06,,,Sample Interval,4e-06
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,Probe Attenuation,1
Vertical Units,V,,,Vertical Units,V
Vertical Offset,0,,,Vertical Offset,0
Vertical Scale,2,,,Vertical Scale,1
Vertical Position,0,,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,"MATH<CH1-CH2>"
-1.8920e-02,-1.36906,1.40375,,-1.8920e-02,-2.77344
-1.8916e-02,-1.36656,1.40063,,-1.8916e-02,-2.77
-1.8912e-02,-1.3675,1.40219,,-1.8912e-02,-2.77375
-1.8908e-02,-1.36844,1.4025,,-1.8908e-02,-2.77219
-1.8904e-02,-1.3675,1.4025,,-1.8904e-02,-2.77031
-1.8900e-02,-1.36656,1.40219,,-1.8900e-02,-2.77156
-1.8896e-02,-1.36844,1.4025,,-1.8896e-02,-2.76719
-1.8892e-02,-1.36844,1.40469,,-1.8892e-02,-2.77375
-1.8888e-02,-1.36719,1.40312,,-1.8888e-02,-2.77281
-1.8884e-02,-1.3675,1.40312,,-1.8884e-02,-2.77219
-1.8880e-02,-1.36563,1.40406,,-1.8880e-02,-2.77031
-1.8876e-02,-1.36656,1.4025,,-1.8876e-02,-2.77188
-1.8872e-02,-1.36906,1.405,,-1.8872e-02,-2.77375
-1.8868e-02,-1.3675,1.40625,,-1.8868e-02,-2.7725
-1.8864e-02,-1.36844,1.40656,,-1.8864e-02,-2.77188
-1.8860e-02,-1.36563,1.40406,,-1.8860e-02,-2.77062
-1.8856e-02,-1.36844,1.40625,,-1.8856e-02,-2.77281
-1.8852e-02,-1.36906,1.405,,-1.8852e-02,-2.77438
-1.8848e-02,-1.365,1.40781,,-1.8848e-02,-2.77031
-1.8844e-02,-1.36594,1.40563,,-1.8844e-02,-2.76906
-1.8840e-02,-1.36719,1.40781,,-1.8840e-02,-2.77125
-1.8836e-02,-1.37062,1.40906,,-1.8836e-02,-2.76844
